기준년도,구,업종,3월(억원),4월(억원),5월(억원),6월(억원),7월(억원)
2020년,서구,문화/취미,22.5,24.5,31.3,20,17.3
2020년,서구,미용,98.8,111.3,138.3,103.7,96
2020년,서구,비영리유통,0.1,0.1,0.1,0.1,0.1
2020년,서구,사무기기,8.8,10.3,12.5,9.7,12.5
2020년,서구,소매,343.7,343.4,371.2,328.9,299.5
2020년,서구,수리서비스,5.3,5.9,7.6,9,8.6
2020년,서구,숙박,6.9,8,9.9,9.1,8.5
2020년,서구,신변잡화,18.3,20.7,30.3,20.3,16.2
2020년,서구,악기,1.5,0.7,2.1,1.7,
2020년,서구,연료판매,,,,,1.3
2020년,서구,용역서비스,15.9,19.1,22,19.5,16.6
2020년,서구,운송기구판매,0.2,0.3,0.6,0.3,0.3
2020년,서구,유아교육기관,24.7,25.2,26.3,26.6,24.9
2020년,서구,유흥,14.5,15.5,22,16.2,17
2020년,서구,음식료품,76.2,88.1,99.5,77.7,78.2
2020년,서구,의료기관/제약,489,533.1,586,524.5,468
2020년,서구,의류,33.2,45.1,63.1,39.1,26.8
2020년,서구,일반음식점,586.4,691.9,852.4,662.3,603
2020년,서구,자동차정비/유지,41.1,47.6,57.3,52.7,45.9
2020년,서구,전자상거래,,8.7,7.8,8.8,8.7
2020년,서구,전자제품,1.6,1,2.1,1.5,0.9
2020년,서구,주방용품,,0.1,1.8,0.2,0.1
2020년,서구,주유,51.7,57.5,53.9,44.7,47
2020년,서구,직물/침구류,0.2,0.4,1.8,0.6,0.1
2020년,서구,학습자재,2.1,2.2,3.3,2.8,2.2
2020년,서구,학원,52.4,76.8,98.5,64.3,50.9
2020년,서구,회비,,,0.4,0.3,
2020년,서구,휴게음식점,134.7,153.2,177.9,145,131.2
2020년,유성구,가구,7.5,8.4,15.7,7.6,5.2
2020년,유성구,건축관련업,2.8,3.8,3,3.8,2.5
2020년,유성구,기타유통,1.7,2.6,2.9,1.7,1.3
2020년,유성구,기타제조/도매,2.2,1.7,6.5,1.8,1.9
2020년,유성구,레저/스포츠,27.5,22.8,38.9,25.2,19.8
2020년,유성구,문화/취미,18.7,22.1,23.8,15.4,13.8
2020년,유성구,미용,45.3,58,72.8,55.8,49.5
2020년,유성구,비영리유통,,,0.3,0.4,0.3
2020년,유성구,사무기기,,,,0.3,
2020년,유성구,소매,213.7,209.7,225.2,212.9,190.4
2020년,유성구,수리서비스,,,0.1,0.1,
2020년,유성구,숙박,10.3,12.2,13.7,14.8,14.1
2020년,유성구,신변잡화,8.5,12.4,20.9,12.3,8.7
2020년,유성구,용역서비스,6,7,9.5,6.5,5.6
2020년,유성구,운송기구판매,,1.3,1.7,,
2020년,유성구,유아교육기관,19,17.9,20.4,20.4,19.5
2020년,유성구,유흥,10.4,15.2,15,13.7,15.7
2020년,유성구,음식료품,106.7,118.2,130,98.7,98.4
2020년,유성구,의료기관/제약,169.8,186.3,211.3,187.1,159.1
2020년,유성구,의류,6.4,13.7,25.1,17.1,8.4
2020년,유성구,일반음식점,523.5,644.5,783.5,647.9,592.5
2020년,유성구,자동차정비/유지,38.3,41,53,42.8,43.2
2020년,유성구,전자상거래,,9.2,6.4,4.3,4.3
2020년,유성구,전자제품,25.3,20.1,22.7,21.7,19.7
2020년,유성구,주방용품,0.1,0.2,0.4,0.4,
2020년,유성구,주유,26.2,27.5,27,30.4,25.7
2020년,유성구,직물/침구류,,0.7,1.5,0.7,0.3
2020년,유성구,학습자재,2.2,2.5,3.2,3.1,2.3
2020년,유성구,학원,14.4,28.4,39.9,23.9,17.9
2020년,유성구,휴게음식점,112.9,128.9,145.3,121.5,106.5
2020년,대덕구,가구,4,6.1,9.4,3,2.7
2020년,대덕구,건축관련업,40.1,47.5,46.3,51.3,47.7
2020년,대덕구,기타유통,0.2,0.7,0.6,0.3,0.2
2020년,대덕구,기타제조/도매,12.9,13.2,13.3,14.4,15.5
2020년,대덕구,레저/스포츠,2.3,4.6,9.5,4.8,2.5
2020년,대덕구,문화/취미,6.9,6.6,7.7,5.9,5.2
2020년,대덕구,미용,9.8,11.5,14.2,11.1,10.8
2020년,대덕구,사무기기,,,0.1,,
2020년,대덕구,소매,116.9,120,134.8,122.3,119.5
2020년,대덕구,수리서비스,0.1,0.1,0.1,,
2020년,대덕구,숙박,7.8,8.8,12.7,10.9,9.2
2020년,대덕구,신변잡화,1.4,1.5,2.8,1.5,1.2
2020년,대덕구,용역서비스,2.3,2.1,2.1,2.4,1.7
2020년,대덕구,운송기구판매,,,,0.8,
2020년,대덕구,유아교육기관,6.4,5.8,6.6,6.1,5.8
2020년,대덕구,유흥,5.4,6.1,7.1,6.1,7.2
2020년,대덕구,음식료품,64.9,73.1,89,66.7,61.9
2020년,대덕구,의료기관/제약,59.7,58.3,63.4,60.2,55.5
2020년,대덕구,의류,2.4,4.1,6.2,4.1,2.3
2020년,대덕구,일반음식점,163,189.8,229.6,190.2,182
2020년,대덕구,자동차정비/유지,65.2,71.1,82.3,88.3,80.2
2020년,대덕구,전자제품,8.1,9.8,8.9,8.9,9.8
2020년,대덕구,주방용품,0.6,0.9,2.2,1.6,1.5
2020년,대덕구,주유,68,66.9,64.4,78.8,76.6
2020년,대덕구,직물/침구류,0.3,0.2,1.8,0.8,0.3
2020년,대덕구,학습자재,1.1,1.4,1.4,1.2,1
2020년,대덕구,학원,1.7,2.6,4.7,2.9,1.9
2020년,대덕구,휴게음식점,25.7,28.4,30.8,28.9,25.5
